İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,tramer,Fiyat
25264344,02 Mayıs 2024,Mitsubishi,L 200,4x4 Storm,2015,271.758 km,Düz,Dizel,Hard top,Gri,2442 cc,154 hp,4WD (Sürekli),İkinci El,"6,4 lt",75 lt,Tamamı orjinal,,Sahibinden,,810.000 TL
25265664,02 Mayıs 2024,Fiat,500 X,1.6 Multijet Popstar,2015,206.000 km,Düz,Dizel,Crossover,Beyaz,1598 cc,120 hp,Önden Çekiş,İkinci El,"4,1 lt",48 lt,2 boyalı,Takasa Uygun,Galeriden,,625.000 TL
25265639,02 Mayıs 2024,Kia,Sportage,1.6 GDI Comfort,2015,137.000 km,Otomatik,Benzin,Crossover,Bej,1591 cc,135 hp,Önden Çekiş,İkinci El,"8,8 lt",58 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,899.750 TL
25265277,02 Mayıs 2024,Opel,Mokka,1.6 CDTI Enjoy,2015,111.100 km,Düz,Dizel,Crossover,Beyaz,1598 cc,136 hp,Önden Çekiş,İkinci El,"4,3 lt",52 lt,"1 değişen, 2 boyalı",Takasa Uygun,Sahibinden,10000,760.000 TL
25265276,02 Mayıs 2024,Nissan,X-Trail,1.6 dCi Platinum Premium Pack,2015,114.000 km,Otomatik,Dizel,Crossover,Beyaz,1598 cc,130 hp,Önden Çekiş,İkinci El,"5,1 lt",60 lt,3 değişen,Takasa Uygun,Galeriden,10500,1.089.901 TL
25264975,02 Mayıs 2024,Nissan,Qashqai,1.2 DIG-T Tekna,2015,98.594 km,Otomatik,Benzin,Crossover,Beyaz,1197 cc,115 hp,Önden Çekiş,İkinci El,"5,6 lt",55 lt,2 boyalı,Takasa Uygun,Galeriden,1300,889.000 TL
25260709,02 Mayıs 2024,Volkswagen,Tiguan,1.4 TSI Sport&Style,2015,96.000 km,Yarı Otomatik,Benzin,Crossover,Bej,1395 cc,150 hp,Önden Çekiş,İkinci El,"6,7 lt",64 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,,999.999 TL
24663110,02 Mayıs 2024,Kia,Soul,1.6 CRDi Premium,2015,150.000 km,Otomatik,Dizel,Crossover,Kırmızı,1582 cc,128 hp,Önden Çekiş,İkinci El,6 lt,54 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,760.000 TL
25260428,02 Mayıs 2024,Volkswagen,Tiguan,1.4 TSI Sport&Style,2015,247.000 km,Yarı Otomatik,Benzin,Crossover,Beyaz,1390 cc,160 hp,Önden Çekiş,İkinci El,"7,1 lt",64 lt,Tamamı orjinal,,Sahibinden,,901.000 TL
22020491,02 Mayıs 2024,Citroen,C4 Cactus,1.6 e-HDi Shine,2015,85.000 km,Yarı Otomatik,Dizel,Crossover,Mavi,1560 cc,93 hp,Önden Çekiş,İkinci El,"3,6 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,1507,856.500 TL
25258702,02 Mayıs 2024,Ford,Ranger,2.2 TDCi XLT,2015,82.000 km,Otomatik,Dizel,Hard top,Beyaz,2198 cc,150 hp,Arkadan İtiş,İkinci El,"8,9 lt",80 lt,Belirtilmemiş,,Sahibinden,,1.200.000 TL
25258552,02 Mayıs 2024,Subaru,Forester,2.0 Adventure,2015,97.000 km,Otomatik,Benzin,Crossover,Siyah,1998 cc,240 hp,4WD (Sürekli),İkinci El,"8,5 lt",60 lt,Tamamı orjinal,,Sahibinden,,1.475.000 TL
25258548,02 Mayıs 2024,Nissan,Qashqai,1.2 DIG-T Black Edition,2015,136.000 km,Otomatik,Benzin,Crossover,Beyaz,1197 cc,115 hp,Önden Çekiş,İkinci El,"5,6 lt",55 lt,2 boyalı,,Sahibinden,7000,820.000 TL
25132714,02 Mayıs 2024,Volkswagen,Amarok,2.0 BITDI Highline,2015,255.000 km,Otomatik,Dizel,Hard top,Beyaz,1968 cc,180 hp,4WD (Sürekli),İkinci El,"8,2 lt",80 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,788.950 TL
25023139,02 Mayıs 2024,Nissan,Juke,1.6 Special Edition,2015,66.000 km,Otomatik,Benzin,Crossover,Sarı,1598 cc,117 hp,Önden Çekiş,İkinci El,"6,3 lt",46 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,869.900 TL
25022004,02 Mayıs 2024,Nissan,Qashqai,1.6 dCi Sky Pack,2015,135.000 km,Otomatik,Dizel,Crossover,Beyaz,1598 cc,130 hp,Önden Çekiş,İkinci El,"4,6 lt",55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,995.000 TL
25021946,02 Mayıs 2024,Honda,CR-V,1.6 i-DTEC Executive,2015,140.000 km,Otomatik,Dizel,Crossover,Beyaz,1597 cc,160 hp,4WD (Sürekli),İkinci El,"5,3 lt",58 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,1.249.000 TL
25018122,02 Mayıs 2024,Dacia,Duster,1.5 dCi Laureate,2015,54.000 km,Düz,Dizel,Crossover,Yeşil,1461 cc,110 hp,4WD (Sürekli),İkinci El,"5,2 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,789.000 TL
25021121,02 Mayıs 2024,Porsche,Cayenne,Diesel,2015,129.000 km,Otomatik,Dizel,Crossover,Siyah,2967 cc,262 hp,4WD (Sürekli),İkinci El,"6,8 lt",98 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,6.175.000 TL
25018957,02 Mayıs 2024,Jeep,Cherokee,2.0 TD Limited,2015,117.250 km,Otomatik,Dizel,Crossover,Beyaz,1956 cc,170 hp,4WD (Sürekli),İkinci El,"5,8 lt",60 lt,2 boyalı,Takasa Uygun,Galeriden,8000,1.259.000 TL1.240.000 TL
25136719,02 Mayıs 2024,Kia,Sportage,1.6 GDI Comfort,2015,76.000 km,Düz,Benzin,Crossover,Beyaz,1591 cc,135 hp,Önden Çekiş,İkinci El,"6,8 lt",58 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,889.900 TL
24879686,02 Mayıs 2024,Nissan,Qashqai,1.2 DIG-T Sky Pack,2015,80.000 km,Otomatik,Benzin,Crossover,Bej,1197 cc,115 hp,Önden Çekiş,İkinci El,"5,6 lt",55 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,1.085.000 TL
25018444,02 Mayıs 2024,Nissan,Qashqai,1.6 dCi Platinum Premium Pack,2015,142.000 km,Otomatik,Dizel,Crossover,Beyaz,1598 cc,130 hp,Önden Çekiş,İkinci El,"4,6 lt",55 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,1.095.000 TL
24502413,02 Mayıs 2024,MINI,Cooper Countryman,1.6 D,2015,98.091 km,Düz,Dizel,Crossover,Siyah,1598 cc,112 hp,Önden Çekiş,İkinci El,"4,4 lt",47 lt,1 boyalı,Takasa Uygun,Galeriden,,995.000 TL
22874443,02 Mayıs 2024,Mercedes - Benz,G,350,2015,125.000 km,Otomatik,Dizel,Crossover,Gri,2987 cc,211 hp,4WD (Sürekli),İkinci El,"11,2 lt",96 lt,Belirtilmemiş,Takasa Uygun,Yetkili Bayiden,,7.050.000 TL
25256631,01 Mayıs 2024,Renault,Kadjar,1.5 dCi Icon,2015,105.000 km,Yarı Otomatik,Dizel,Crossover,Lacivert,1461 cc,110 hp,Önden Çekiş,İkinci El,"3,8 lt",55 lt,Belirtilmemiş,,Sahibinden,,1.150.000 TL
25256468,01 Mayıs 2024,Volkswagen,Tiguan,1.4 TSI Cup,2015,190.000 km,Düz,Benzin,Crossover,Beyaz,1390 cc,122 hp,Önden Çekiş,İkinci El,"6,5 lt",64 lt,3 boyalı,,Sahibinden,3700,950.000 TL
24632403,01 Mayıs 2024,Opel,Mokka,1.4 Cosmo,2015,39.000 km,Otomatik,Benzin,Crossover,Beyaz,1364 cc,140 hp,Önden Çekiş,İkinci El,"6,7 lt",54 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,1.000.000 TL
25256621,01 Mayıs 2024,Jeep,Renegade,1.4 MultiAir Longitude,2015,142.000 km,Düz,LPG & Benzin,Crossover,Turuncu,1368 cc,140 hp,Önden Çekiş,İkinci El,6 lt,48 lt,Belirtilmemiş,-,Sahibinden,,1.099.000 TL
25255908,01 Mayıs 2024,Nissan,Qashqai,1.2 DIG-T Sky Pack,2015,89.500 km,Otomatik,Benzin,Crossover,Beyaz,1197 cc,115 hp,Önden Çekiş,İkinci El,"5,6 lt",55 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,,975.000 TL
25252829,01 Mayıs 2024,Nissan,Qashqai,1.2 DIG-T Sky Pack,2015,155.000 km,Otomatik,LPG & Benzin,Crossover,Beyaz,1197 cc,115 hp,Önden Çekiş,İkinci El,"5,6 lt",55 lt,Tamamı orjinal,,Sahibinden,,1.150.000 TL
25254854,01 Mayıs 2024,Hyundai,Tucson,1.6 T-GDi Elite Plus,2015,136.000 km,Yarı Otomatik,LPG & Benzin,Crossover,Beyaz,1591 cc,177 hp,4WD (Sürekli),İkinci El,"7,5 lt",62 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,1.275.000 TL
25251792,01 Mayıs 2024,Renault,Kadjar,1.5 dCi Icon,2015,216.250 km,Yarı Otomatik,Dizel,Crossover,Kırmızı,1461 cc,110 hp,Önden Çekiş,İkinci El,"3,8 lt",55 lt,2 boyalı,Takasa Uygun,Sahibinden,7000,949.000 TL
21029886,01 Mayıs 2024,Honda,CR-V,1.6 i-DTEC Premium,2015,158.500 km,Otomatik,Dizel,Crossover,Siyah,1597 cc,160 hp,4WD (Sürekli),İkinci El,"5,1 lt",58 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,1.399.000 TL
25174214,01 Mayıs 2024,Nissan,Qashqai,1.6 dCi Platinum Premium Pack,2015,174.000 km,Otomatik,Dizel,Crossover,Bordo,1598 cc,130 hp,Önden Çekiş,İkinci El,"4,6 lt",55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,949.000 TL
25250044,01 Mayıs 2024,Dacia,Duster,1.5 dCi Laureate,2015,105.000 km,Düz,Dizel,Crossover,Füme,1461 cc,110 hp,Önden Çekiş,İkinci El,"4,8 lt",50 lt,"1 değişen, 5 boyalı",Takasa Uygun,Sahibinden,8500,670.000 TL
25249945,01 Mayıs 2024,Kia,Sportage,1.6 GDI Concept Plus,2015,98.750 km,Otomatik,Benzin,Crossover,Siyah,1591 cc,135 hp,Önden Çekiş,İkinci El,"8,8 lt",58 lt,Tamamı orjinal,,Sahibinden,,970.000 TL
24105696,01 Mayıs 2024,Subaru,Forester,2.0 TD Sport,2015,162.000 km,Otomatik,Dizel,Crossover,Beyaz,1998 cc,147 hp,4WD (Sürekli),İkinci El,"6,3 lt",60 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,,1.160.000 TL
23784965,01 Mayıs 2024,Nissan,Qashqai,1.6 dCi Black Edition,2015,155.000 km,Otomatik,Dizel,Crossover,Kahverengi,1598 cc,130 hp,Önden Çekiş,İkinci El,"4,6 lt",55 lt,1 boyalı,Takasa Uygun,Sahibinden,4643,940.000 TL
25248875,01 Mayıs 2024,Dacia,Duster,1.5 dCi Ambiance,2015,144.000 km,Düz,Dizel,Crossover,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,"4,7 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,,649.000 TL
25006687,01 Mayıs 2024,Renault,Kadjar,1.5 dCi Touch,2015,105.627 km,Yarı Otomatik,Dizel,Crossover,Kırmızı,1461 cc,110 hp,Önden Çekiş,İkinci El,"3,8 lt",55 lt,3 boyalı,Takasa Uygun Değil,Galeriden,,855.000 TL
24239272,01 Mayıs 2024,Porsche,Cayenne,Diesel,2015,299.000 km,Otomatik,Dizel,Crossover,Beyaz,2967 cc,262 hp,4WD (Sürekli),,"6,8 lt",98 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,3.595.000 TL
25009895,01 Mayıs 2024,Fiat,500 X,1.4 T Cross Plus,2015,74.000 km,Otomatik,Benzin,Crossover,Gri,1368 cc,140 hp,Önden Çekiş,İkinci El,"5,7 lt",48 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,830.000 TL
25012511,01 Mayıs 2024,Subaru,XV,1.6 Premium,2015,174.000 km,Otomatik,Benzin,Crossover,Lacivert,1600 cc,114 hp,4WD (Sürekli),İkinci El,"6,3 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,879.000 TL
25012466,01 Mayıs 2024,Land Rover,Range Rover,3.0 TDV6 Autobiography,2015,227.000 km,Otomatik,Dizel,Crossover,Beyaz,2993 cc,258 hp,4WD (Sürekli),İkinci El,"7,5 lt",85 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,5.500.000 TL
25011534,01 Mayıs 2024,Jeep,Cherokee,2.0 TD Limited,2015,128.000 km,Otomatik,Dizel,Crossover,Lacivert,1956 cc,170 hp,4WD (Sürekli),İkinci El,"5,8 lt",60 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,1.395.000 TL
25121835,01 Mayıs 2024,Jeep,Cherokee,2.0 TD Limited,2015,328.000 km,Otomatik,Dizel,Crossover,Beyaz,1956 cc,170 hp,4WD (Sürekli),İkinci El,"5,8 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,1.100.000 TL
25122283,01 Mayıs 2024,Audi,Q7,3.0 TDI Quattro,2015,273.000 km,Otomatik,Dizel,Crossover,Siyah,2967 cc,240 hp,4WD (Sürekli),İkinci El,"9,8 lt",100 lt,Tamamı orjinal,Takasa Uygun,Galeriden,14000,2.999.999 TL
25013489,01 Mayıs 2024,Renault,Kadjar,1.5 dCi Icon,2015,180.210 km,Yarı Otomatik,Dizel,Crossover,Gri,1461 cc,110 hp,Önden Çekiş,İkinci El,"3,8 lt",55 lt,Tamamı orjinal,Takasa Uygun Değil,Yetkili Bayiden,,929.000 TL
25123065,01 Mayıs 2024,Dacia,Duster,1.5 dCi Laureate,2015,338.000 km,Düz,Dizel,,Beyaz,1201 - 1400 cm3,101 - 125 HP,4WD (Sürekli),İkinci El,,,Belirtilmemiş,Takasa Uygun,Galeriden,,665.000 TL
25010529,01 Mayıs 2024,BMW,X1,16i sDrive,2015,148.000 km,Otomatik,Benzin,Crossover,Gri,1598 cc,143 hp,Arkadan İtiş,İkinci El,"7,3 lt",63 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,1.080.000 TL
25010882,01 Mayıs 2024,Dacia,Duster,1.5 dCi Laureate,2015,425.000 km,Düz,Dizel,Crossover,Gri (Gümüş),1461 cc,90 hp,Önden Çekiş,İkinci El,"4,7 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,515.000 TL
25127477,01 Mayıs 2024,Honda,CR-V,1.6 i-DTEC Premium,2015,258.000 km,Otomatik,Dizel,Crossover,Beyaz,1597 cc,160 hp,4WD (Sürekli),İkinci El,"5,1 lt",58 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,975.000 TL
25125315,01 Mayıs 2024,Kia,Sportage,1.6 GDI Concept Plus,2015,135.000 km,Otomatik,Benzin,Crossover,Gri,1591 cc,135 hp,Önden Çekiş,İkinci El,"8,8 lt",58 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,900.000 TL
25007124,01 Mayıs 2024,Opel,Mokka,1.6 CDTI Enjoy,2015,125.000 km,Otomatik,Dizel,Crossover,Füme,1598 cc,136 hp,Önden Çekiş,İkinci El,"5,1 lt",52 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,725.000 TL
24543407,01 Mayıs 2024,BMW,X5,25d xDrive,2015,161.412 km,Otomatik,Dizel,Crossover,Siyah,1995 cc,218 hp,4WD (Sürekli),İkinci El,"5,8 lt",85 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,2.445.000 TL
25010670,01 Mayıs 2024,BMW,X1,16i sDrive,2015,145.000 km,Otomatik,Benzin,Crossover,Beyaz,1598 cc,143 hp,Arkadan İtiş,İkinci El,"7,3 lt",63 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,1.100.000 TL
19450431,01 Mayıs 2024,BMW,X5,44 M,2015,99.850 km,Otomatik,Benzin,Crossover,Siyah,4395 cc,575 hp,4WD (Sürekli),İkinci El,"11,1 lt",85 lt,1 boyalı,Takasa Uygun Değil,Galeriden,,5.950.000 TL
25122746,01 Mayıs 2024,Hyundai,Tucson,1.6 T-GDi Style,2015,125.000 km,Düz,Benzin,Crossover,Bej,1591 cc,177 hp,Önden Çekiş,İkinci El,"7,3 lt",62 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,999.500 TL
25012869,01 Mayıs 2024,Land Rover,Range Rover Sport,3.0 SDV6 HSE,2015,172.100 km,Otomatik,Dizel,Crossover,Şampanya,2993 cc,245 hp,4WD (Sürekli),İkinci El,"9,2 lt",84 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,3.590.000 TL
25011664,01 Mayıs 2024,Mercedes - Benz,GLC,250 AMG,2015,45.750 km,Otomatik,Benzin,Crossover,Siyah,1991 cc,211 hp,4WD (Sürekli),İkinci El,"6,5 lt",66 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,2.950.000 TL
23146528,30 Nisan 2024,Kia,Sportage,1.6 GDI Concept Plus,2015,62.000 km,Otomatik,Benzin,Crossover,Turuncu,1591 cc,135 hp,Önden Çekiş,İkinci El,"8,8 lt",58 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,40000,970.000 TL
25247971,30 Nisan 2024,Nissan,Qashqai,1.6 dCi Black Edition,2015,200.000 km,Otomatik,Dizel,Crossover,Kahverengi,1598 cc,130 hp,Önden Çekiş,İkinci El,"4,6 lt",55 lt,Belirtilmemiş,,Sahibinden,,920.000 TL
25247893,30 Nisan 2024,Nissan,Qashqai,1.6 dCi Platinum Premium Pack,2015,113.800 km,Otomatik,Dizel,Crossover,Kırmızı,1598 cc,130 hp,Önden Çekiş,İkinci El,"4,6 lt",55 lt,Tamamı orjinal,,Sahibinden,,1.090.000 TL
25248127,30 Nisan 2024,Volkswagen,Tiguan,2.0 TDI Sport&Style,2015,180.000 km,Yarı Otomatik,Dizel,Crossover,Kahverengi,1968 cc,150 hp,4WD (Sürekli),İkinci El,"5,7 lt",64 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,1.200.000 TL
24568621,30 Nisan 2024,Kia,Sportage,1.6 GDI Comfort,2015,62.950 km,Otomatik,Benzin,Crossover,Beyaz,1591 cc,135 hp,Önden Çekiş,İkinci El,"8,8 lt",58 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,909.000 TL
25247711,30 Nisan 2024,Nissan,Juke,1.6 Special Edition,2015,105.660 km,Yarı Otomatik,Benzin,Crossover,Kırmızı,1598 cc,117 hp,Önden Çekiş,İkinci El,"6,3 lt",46 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,775.000 TL
25247037,30 Nisan 2024,Nissan,X-Trail,1.6 dCi Platinum Premium Pack,2015,116.000 km,Otomatik,Dizel,Crossover,Siyah,1598 cc,130 hp,Önden Çekiş,İkinci El,"5,1 lt",60 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,1.099.000 TL
25246813,30 Nisan 2024,Subaru,Outback,2.0 D Limited,2015,205.000 km,Otomatik,Dizel,Station wagon,Siyah,1998 cc,150 hp,4WD (Sürekli),İkinci El,"6,1 lt",60 lt,"1 değişen, 5 boyalı",Takasa Uygun,Galeriden,,1.040.000 TL
25246613,30 Nisan 2024,Volkswagen,Amarok,2.0 BITDI Highline,2015,257.000 km,Otomatik,Dizel,Hard top,Gri (Gümüş),1968 cc,180 hp,4WD (Sürekli),İkinci El,"8,2 lt",80 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,925.000 TL
25242504,30 Nisan 2024,Renault,Captur,1.5 dCi Outdoor,2015,92.000 km,Yarı Otomatik,Dizel,Crossover,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,9 lt",45 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,,840.000 TL
25246189,30 Nisan 2024,Nissan,Qashqai,1.2 DIG-T Visia,2015,110.983 km,Otomatik,Benzin,Crossover,Siyah,1197 cc,115 hp,Önden Çekiş,İkinci El,"5,6 lt",55 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,922.500 TL
25245477,30 Nisan 2024,Renault,Kadjar,1.2 TCe Touch,2015,92.400 km,Düz,Benzin,Crossover,Beyaz,1197 cc,130 hp,Önden Çekiş,İkinci El,"5,6 lt",55 lt,Tamamı orjinal,,Sahibinden,,840.000 TL
25244971,30 Nisan 2024,Nissan,Qashqai,1.6 dCi Platinum Premium Pack,2015,135.528 km,Otomatik,Dizel,Crossover,Siyah,1598 cc,130 hp,Önden Çekiş,İkinci El,"4,6 lt",55 lt,3 boyalı,Takasa Uygun,Yetkili Bayiden,,987.000 TL
25244930,30 Nisan 2024,Peugeot,2008,1.6 e-HDi Allure,2015,123.911 km,Yarı Otomatik,Dizel,Crossover,Siyah,1598 cc,93 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,"2 değişen, 1 boyalı",Takasa Uygun,Yetkili Bayiden,,752.000 TL
25244440,30 Nisan 2024,Renault,Kadjar,1.5 dCi Icon,2015,27.000 km,Yarı Otomatik,Dizel,Crossover,Beyaz,1461 cc,110 hp,Önden Çekiş,İkinci El,"3,8 lt",55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,1.210.000 TL
25239480,30 Nisan 2024,Audi,Q5,2.0 TDI Quattro,2015,107.500 km,Yarı Otomatik,Dizel,Crossover,Siyah,1968 cc,190 hp,4WD (Sürekli),İkinci El,"5,7 lt",75 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,,2.075.000 TL
25239474,30 Nisan 2024,Volkswagen,Tiguan,1.4 TSI Lounge,2015,85.000 km,Yarı Otomatik,Benzin,Crossover,Gri,1395 cc,150 hp,Önden Çekiş,İkinci El,"6,7 lt",64 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,,1.179.999 TL
25243723,30 Nisan 2024,Kia,Sportage,1.6 GDI Premium,2015,50.000 km,Otomatik,Benzin,Crossover,Siyah,1591 cc,135 hp,Önden Çekiş,İkinci El,"8,8 lt",58 lt,Tamamı orjinal,Takasa Uygun,Galeriden,160,1.067.000 TL
25114883,30 Nisan 2024,Fiat,500 X,1.6 Multijet Cross Plus,2015,183.000 km,Düz,Dizel,Crossover,Kırmızı,1598 cc,120 hp,Önden Çekiş,İkinci El,"4,1 lt",48 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,635.000 TL
25114563,30 Nisan 2024,Skoda,Yeti,1.6 TDI Elegance Greenline,2015,121.000 km,Yarı Otomatik,Dizel,Crossover,Beyaz,1598 cc,105 hp,Önden Çekiş,İkinci El,5 lt,55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,830.000 TL
25112522,30 Nisan 2024,BMW,X5,25d xDrive Premium,2015,117.000 km,Otomatik,Dizel,Crossover,Beyaz,1995 cc,218 hp,4WD (Sürekli),İkinci El,"5,8 lt",85 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,2.800.000 TL
25006081,30 Nisan 2024,Mitsubishi,L 200,4x4 Invite,2015,208.866 km,Düz,Dizel,Hard top,Beyaz,2477 cc,136 hp,4WD (Sürekli),İkinci El,"7,7 lt",75 lt,3 boyalı,Takasa Uygun Değil,Yetkili Bayiden,,685.000 TL
25113227,30 Nisan 2024,Opel,Mokka,1.6 CDTI Enjoy,2015,88.166 km,Otomatik,Dizel,Crossover,Beyaz,1598 cc,136 hp,Önden Çekiş,İkinci El,"5,1 lt",52 lt,1 boyalı,Takasa Uygun Değil,Galeriden,502,859.750 TL
24519026,30 Nisan 2024,Renault,Captur,1.5 dCi Outdoor,2015,189.000 km,Yarı Otomatik,Dizel,Crossover,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,9 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,3911,745.000 TL
25111616,30 Nisan 2024,BMW,X3,20d xDrive X Line,2015,99.000 km,Otomatik,Dizel,Crossover,Siyah,1995 cc,190 hp,4WD (Sürekli),İkinci El,"4,9 lt",67 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,1.790.000 TL
23996308,30 Nisan 2024,Isuzu,D-Max,2.5 4x4 V-Cross,2015,196.000 km,Otomatik,Dizel,Hard top,Bordo,2499 cc,163 hp,4WD (Sürekli),,"8,4 lt",69 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,875.000 TL
23720621,30 Nisan 2024,Volkswagen,Tiguan,2.0 TDI Sport&Style,2015,280.000 km,Yarı Otomatik,Dizel,Crossover,Beyaz,1968 cc,150 hp,4WD (Sürekli),,"5,7 lt",64 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,1.299.000 TL
23637994,30 Nisan 2024,Porsche,Cayenne,3.0 V6,2015,193.500 km,Otomatik,Dizel,SUV,Beyaz,2967 cc,262 hp,AWD (Elektronik),İkinci El,,,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,4.650.000 TL
25240280,29 Nisan 2024,Kia,Sportage,1.6 GDI Concept Plus,2015,74.000 km,Otomatik,Benzin,Crossover,Beyaz,1591 cc,135 hp,Önden Çekiş,İkinci El,"8,8 lt",58 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,,966.000 TL
25097945,29 Nisan 2024,Isuzu,D-Max,2.5 4x2 Limited,2015,210.000 km,Düz,Dizel,Hard top,Gri (Gümüş),2499 cc,163 hp,Arkadan İtiş,İkinci El,"7,4 lt",69 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,635.000 TL625.000 TL
25097942,29 Nisan 2024,Isuzu,D-Max,2.5 4x2 Limited,2015,163.000 km,Düz,Dizel,Hard top,Beyaz,2499 cc,163 hp,Arkadan İtiş,İkinci El,"7,4 lt",69 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,675.000 TL665.000 TL
25238047,29 Nisan 2024,Nissan,Juke,1.5 dCi Sky Pack,2015,150.000 km,Düz,Dizel,Crossover,Siyah,1461 cc,110 hp,Önden Çekiş,İkinci El,4 lt,46 lt,3 boyalı,Takasa Uygun,Galeriden,,685.000 TL
25230571,29 Nisan 2024,Nissan,Qashqai,1.6 dCi Platinum,2015,128.000 km,Otomatik,Dizel,Crossover,Gri,1598 cc,130 hp,Önden Çekiş,İkinci El,"4,6 lt",55 lt,"1 değişen, 1 boyalı",,Sahibinden,,975.000 TL
25233590,29 Nisan 2024,Opel,Mokka,1.4 Enjoy,2015,103.000 km,Otomatik,Benzin,Crossover,Siyah,1364 cc,140 hp,Önden Çekiş,İkinci El,"6,7 lt",54 lt,Belirtilmemiş,,Sahibinden,,799.000 TL
24632998,29 Nisan 2024,Nissan,Qashqai,1.2 DIG-T Visia,2015,74.000 km,Otomatik,Benzin,Crossover,Beyaz,1197 cc,115 hp,Önden Çekiş,İkinci El,"5,6 lt",55 lt,Tamamı orjinal,,Sahibinden,5100,950.000 TL940.000 TL
25232731,29 Nisan 2024,Nissan,X-Trail,1.6 dCi Platinum Premium Pack,2015,162.500 km,Otomatik,Dizel,Crossover,Siyah,1598 cc,130 hp,Önden Çekiş,İkinci El,"5,1 lt",60 lt,1 boyalı,Takasa Uygun,Sahibinden,35100,1.030.000 TL
25226461,29 Nisan 2024,Nissan,Qashqai,1.5 dCi Visia,2015,220.000 km,Düz,Dizel,Crossover,Beyaz,1461 cc,110 hp,Önden Çekiş,İkinci El,"3,8 lt",55 lt,Tamamı orjinal,,Sahibinden,,870.000 TL
